drug1,drug2,side_effect,PRR
"insulin, aspart, human",olopatadine,Liver disorder,20.0
diphenidol,alprazolam,Dehydration,20.0
linseed oil,cod liver oil,Product adhesion issue,20.0
budesonide,oxytocin,Blood pressure systolic increased,20.0
amlodipine,emtricitabine,Neutropenia,20.0
fluoxetine,bendamustine,White blood cell count decreased,20.0
lipase,carbamazepine,Alanine aminotransferase increased,20.0
acetylcysteine,baclofen,Muscular weakness,20.0
hydrocortisone,nitrazepam,Limb discomfort,20.0
enalapril,amphotericin b liposomal,Alanine aminotransferase increased,20.0
voriconazole,plerixafor,Pancytopenia,20.0
oxygen,methylphenidate,Haematuria,20.0
tetrazepam,torsemide,Blood creatinine increased,20.0
xylometazoline,levothyroxine,Respiratory failure,20.0
epoprostenol,sodium chloride,Thrombosis,20.0
flunitrazepam,heroin,Loss of consciousness,20.0
butalbital,dextroamphetamine,Diplopia,20.0
ipratropium,misoprostol,Drug withdrawal syndrome,20.0
ipratropium,trihexyphenidyl,Asthma,20.0
vitamin d,lycopene,Flushing,20.0
bevacizumab,cefdinir,Pyrexia,20.0
progesterone,allopurinol,Hyperkalaemia,20.0
olanzapine,psyllium,Suicidal ideation,20.0
ibuprofen,lactase,Lymphadenopathy,20.0
metoprolol,chromium,Flushing,20.0
esomeprazole,tirofiban,Thrombocytopenia,20.0
zidovudine,diltiazem,Electrocardiogram abnormal,20.0
lamotrigine,phloroglucinol,Balance disorder,20.0
darifenacin,dicyclomine,Ileus,20.0
pentoxifylline,paricalcitol,Skin discolouration,20.0
imidapril,ezetimibe,Dehydration,20.0
insulin detemir,ergocalciferol,White blood cell count decreased,20.0
clobetasol,"regular insulin, human",Hepatic function abnormal,20.0
ferrous gluconate,clonidine,Cardiac failure congestive,20.0
ibuprofen,arginine,Upper gastrointestinal haemorrhage,20.0
lamivudine,ticlopidine,Myocardial infarction,20.0
activated charcoal,benzbromarone,Renal failure,20.0
calcium acetate,calcium gluconate,Dehydration,20.0
ibandronate,primidone,Influenza,20.0
calcium citrate,labetalol,Respiratory failure,20.0
budesonide,acarbose,Muscle spasms,20.0
calcium carbonate,piracetam,General physical health deterioration,20.0
calcium,cod liver oil,Sinus congestion,20.0
doxercalciferol,alprazolam,Blood pressure decreased,20.0
colchicine,testosterone,Renal failure chronic,20.0
cholesterol,pravastatin,Cerebrovascular accident,20.0
galantamine,fexofenadine,Hypotension,20.0
prednisone,saw palmetto extract,Alanine aminotransferase increased,20.0
calcium gluconate,domperidone,Bradycardia,20.0
acetaminophen,promestriene,Agitation,20.0
ferrous fumarate,levofloxacin,International normalised ratio increased,20.0
"influenza a virus vaccine, a-victoria-361-2011 (h3n2)-like virus",methotrexate,Insomnia,20.0
tetrazepam,ofloxacin,Abnormal behaviour,20.0
sildenafil,eculizumab,Back pain,20.0
standardized senna concentrate,cromolyn,Hepatotoxicity,20.0
cinacalcet,gentamicin,Cough,20.0
tramadol,tilidine,Pancytopenia,20.0
silodosin,escitalopram,Hepatitis C,20.0
brimonidine,mesalamine,Feeling hot,20.0
salmeterol,biotin,Renal injury,20.0
xipamide,bosentan,Blood creatinine increased,20.0
geranylgeranylacetone,dopamine,Cardiac failure,20.0
levodopa,morniflumate,Insomnia,20.0
fiber,diltiazem,Haemorrhage,20.0
budesonide,nadolol,Dyskinesia,20.0
ursodeoxycholate,silymarin,Fluid retention,20.0
phenobarbital,ethambutol,Convulsion,20.0
salicylic acid,tiotropium,Memory impairment,20.0
raloxifene,iron,Bladder disorder,20.0
hesperidin,zopiclone,Off label use,20.0
ondansetron,pitavastatin,Pyrexia,20.0
coenzyme q10,eszopiclone,Myalgia,20.0
immunoglobulin g,epoetin alfa,Thrombocytopenia,20.0
galsulfase,oxygen,Pneumonia,20.0
dihydralazine,levothyroxine,Blood lactate dehydrogenase increased,20.0
demeclocycline,morphine,Pulmonary hypertension,20.0
ramipril,cilastatin,Angioedema,20.0
insulin detemir,latanoprost,Renal failure,20.0
clonidine,cisapride,General physical health deterioration,20.0
erlotinib,mesalamine,Peripheral vascular disorder,20.0
molsidomine,diltiazem,Aphasia,20.0
gemifloxacin,lansoprazole,Heart rate irregular,20.0
phenytoin,ketoconazole,Anhedonia,20.0
terbinafine,lithium carbonate,Weight increased,20.0
ranolazine,varenicline,Chest discomfort,20.0
bevacizumab,labetalol,Metastases to bone,20.0
fosamprenavir,zolpidem,Hyperlipidaemia,20.0
timolol,bromazepam,Drug interaction,20.0
bromopride,ranitidine,Dehydration,20.0
chlorthalidone,quinine,General physical health deterioration,20.0
famotidine,bethanechol,Bursitis,20.0
prazosin,risedronate,Myocardial infarction,20.0
dutasteride,psyllium,Pollakiuria,20.0
donepezil,icosapent ethyl,Platelet count decreased,20.0
spironolactone,milnacipran,Migraine,20.0
pregabalin,epinastine,Blood pressure increased,20.0
metaxalone,magnesium oxide,Atrial fibrillation,20.0
valacyclovir,procarbazine,Lung disorder,20.0
vitamin a,polyethylene glycol 9000,Joint swelling,20.0
tiagabine,verapamil,Cardiac failure congestive,20.0
orphenadrine,vitamin d,Emotional distress,20.0
tizanidine,cyproheptadine,Multiple sclerosis,20.0
salmon calcitonin,propranolol,Hiatus hernia,20.0
montelukast,bortezomib,Urticaria,20.0
albuterol,dexmethylphenidate,Cough,20.0
pentoxifylline,diclofenac,Blood potassium decreased,20.0
risedronate,bisacodyl,Anaemia,20.0
levothyroxine,chlorambucil,Bronchitis,20.0
desipramine,tiotropium,Pulmonary congestion,20.0
calcium carbonate,tocopherol,Hypoaesthesia,20.0
aripiprazole,omalizumab,Hypersensitivity,20.0
ezetimibe,saw palmetto extract,Muscular weakness,20.0
penicillamine,leflunomide,Pharyngolaryngeal pain,20.0
diosmin,nicardipine,Coma,20.0
tolterodine,fluvastatin,Blood cholesterol increased,20.0
memantine,ondansetron,Cataract,20.0
imatinib,epinastine,White blood cell count decreased,20.0
carisoprodol,atomoxetine,Tremor,20.0
diclofenac,melatonin,Sinusitis,20.0
terbinafine,meloxicam,Coma,20.0
testosterone,raltegravir,Rhabdomyolysis,20.0
ezetimibe,trichlormethiazide,Blood creatinine increased,20.0
fexofenadine,abatacept,Medication error,20.0
fluticasone,micafungin,Tachycardia,20.0
clotrimazole,tolterodine,Transient ischaemic attack,20.0
potassium acetate,escitalopram,Tachycardia,20.0
calcium acetate,levalbuterol,Asthenia,20.0
ipilimumab,fexofenadine,Blood creatinine increased,20.0
salmeterol,temsirolimus,Febrile neutropenia,20.0
penicillin,amphotericin b,Septic shock,20.0
selenium sulfide,omeprazole,Visual acuity reduced,20.0
ranitidine,lactase,Nervousness,20.0
polyethylene glycol 9000,dicyclomine,Vision blurred,20.0
nabumetone,nicotine,Dysgeusia,20.0
propranolol,pancrelipase,Vomiting,20.0
theophylline,etodolac,Asthma,20.0
hesperidin,polyethylene glycol 4000,Apathy,20.0
saxagliptin,potassium chloride,Febrile neutropenia,20.0
hydralazine,pomalidomide,Atrial fibrillation,20.0
pioglitazone,water,Flushing,20.0
dipyridamole,acarbose,Bradycardia,20.0
ibandronate,cilostazol,Fall,20.0
linagliptin,vitamin d3,Gout,20.0
anastrozole,ketoconazole,Herpes zoster,20.0
acetazolamide,haloperidol,Hypoglycaemia,20.0
lenalidomide,quinine,Deafness neurosensory,20.0
sulfasalazine,calcium lactate,Tricuspid valve incompetence,20.0
salmon calcitonin,verapamil,Gastrointestinal haemorrhage,20.0
cytarabine,ofloxacin,Septic shock,20.0
darunavir,desloratadine,Drug interaction,20.0
dimethyl fumarate,milnacipran,Alopecia,20.0
ipilimumab,testosterone,Pulmonary embolism,20.0
terbinafine,ofloxacin,Cataract,20.0
immunoglobulin g,"insulin, aspart, human",Activities of daily living impaired,20.0
phenprocoumon,pipamperone,Metastases to liver,20.0
doripenem,ketoprofen,Depressed level of consciousness,20.0
aldesleukin,etoposide,Neutropenia,20.0
nabumetone,leucovorin,Chest discomfort,20.0
indacaterol,verapamil,Heart rate increased,20.0
prazosin,cyclobenzaprine,Arthralgia,20.0
chlorzoxazone,etodolac,Depression,20.0
cilostazol,bezafibrate,Rhabdomyolysis,20.0
magnesium citrate,pregabalin,Pancytopenia,20.0
timolol,triamterene,Sepsis,20.0
ibuprofen,lenograstim,Renal tubular necrosis,20.0
benazepril,progesterone,Musculoskeletal stiffness,20.0
idarubicin,ofloxacin,Pancytopenia,20.0
busulfan,deferasirox,Drug interaction,20.0
vilanterol,ramipril,Dysphonia,20.0
minoxidil,sitagliptin,Weight decreased,20.0
atorvastatin,methylcellulose,Hypokalaemia,20.0
niacin,sodium selenate,Muscular weakness,20.0
oxycodone,bifidobacterium infantis,Alopecia,20.0
chlorpromazine,peginterferon alfa-2b,Suicidal ideation,20.0
olopatadine,baclofen,Sleep disorder,20.0
medroxyprogesterone,calcium citrate,Drug intolerance,20.0
levetiracetam,dipyrone,Skin reaction,20.0
ticlopidine,mycophenolate mofetil,Asthenia,20.0
nystatin,repaglinide,Oedema peripheral,20.0
moxifloxacin,teicoplanin,Sepsis,20.0
immunoglobulin g,oxcarbazepine,Pulmonary embolism,20.0
norfloxacin,ethinyl estradiol,Drug interaction,20.0
citalopram,oxytocin,Atrial fibrillation,20.0
clonidine,paliperidone,Increased appetite,20.0
zoledronic acid,placebo,Metastases to lymph nodes,20.0
pyridoxal,ranitidine,Sepsis,20.0
azithromycin,cetuximab,Hypoxia,20.0
rifaximin,carvedilol,Hypokalaemia,20.0
metoclopramide,ioversol,Confusional state,20.0
valsartan,sulindac,Coronary artery disease,20.0
butylscopolamine,bromazepam,Insomnia,20.0
gliclazide,octreotide,Pruritus,20.0
cetirizine,laronidase,Abdominal pain upper,20.0
potassium citrate,magnesium oxide,Viral infection,20.0
telmisartan,colesevelam,Dry mouth,20.0
dabigatran etexilate,ceftriaxone,Melaena,20.0
enalapril,cifenline,Aspartate aminotransferase increased,20.0
erlotinib,cilostazol,Interstitial lung disease,20.0
manidipine,alprazolam,Confusional state,20.0
glucose,sitagliptin,Cardiac failure congestive,20.0
prazosin,ribavirin,Septic shock,20.0
tramadol,sulbactam,Amnesia,20.0
nitrofurantoin,methylphenidate,Osteonecrosis of jaw,20.0
emtricitabine,venlafaxine,General physical health deterioration,20.0
cefazolin,nilotinib,Pancytopenia,20.0
cefditoren,theophylline,Nasopharyngitis,20.0
lomitapide,trazodone,Decreased appetite,20.0
eletriptan,natalizumab,Infection,20.0
tacrolimus,pyridoxal,Pleural effusion,20.0
pentazocine,amphotericin b,Acute myeloid leukaemia,20.0
timolol,irinotecan,Back pain,20.0
efavirenz,oxandrolone,Haemoglobin decreased,20.0
betamethasone,thiocolchicoside,Balance disorder,20.0
lactobacillus acidophilus,ketoprofen,Interstitial lung disease,20.0
estradiol,dihydroergotamine,Convulsion,20.0
abacavir,beclomethasone,Face oedema,20.0
diazepam,chloramphenicol,Vision blurred,20.0
dabigatran etexilate,polyethylene glycol 400,Fall,20.0
eszopiclone,lithium,Hypertension,20.0
mosapride,triamcinolone,Hepatic function abnormal,20.0
clindamycin,clobazam,Confusional state,20.0
trandolapril,doxorubicin,Constipation,20.0
sodium bicarbonate,felbinac,Platelet count decreased,20.0
meloxicam,asenapine,Coordination abnormal,20.0
cyanocobalamin co57,biotin,Rectal haemorrhage,20.0
testosterone,fluocinonide,Blood glucose increased,20.0
tetrahydrozoline,paroxetine,Anxiety,20.0
aspirin,fosfomycin,Pancytopenia,20.0
"calcium carbonate, precipitated",epoetin beta,Loss of consciousness,20.0
indapamide,azosemide,Renal impairment,20.0
etoposide,sodium oxybate,Malignant neoplasm progression,20.0
polyethylene glycol 3350,ceftazidime,Renal failure,20.0
topotecan,temazepam,Neutropenia,20.0
epinephrine,cortisone,Off label use,20.0
diclofenac,troxerutin,Orthostatic hypotension,20.0
piracetam,gabapentin,Adverse event,20.0
acetaminophen,silver nitrate,Device dislocation,20.0
mecobalamin,hyaluronate,Herpes zoster,20.0
chlorpheniramine,solifenacin,Weight decreased,20.0
tranexamic acid,vitamin d,Haemoglobin decreased,20.0
calcium carbonate,mineral oil,Haemoglobin decreased,20.0
polyethylene glycol 3350,fluocinolone,Dehydration,20.0
diclofenac,telithromycin,Amnesia,20.0
simethicone,sitagliptin,Muscle spasms,20.0
chlorpheniramine,clobetasone,Urticaria,20.0
rosuvastatin,manidipine,Renal failure acute,20.0
timolol,gemfibrozil,Type 2 diabetes mellitus,20.0
lapatinib,sunitinib,Cardiac failure congestive,20.0
guaifenesin,gefitinib,Malignant neoplasm progression,20.0
oxybutynin,methylcellulose,Oedema peripheral,20.0
diazepam,roxithromycin,Neutropenia,20.0
bromhexine,hydroxyzine,Jaundice,20.0
acetaminophen,salmon oil,Malaise,20.0
olanzapine,neomycin,Depression,20.0
vancomycin,somatropin,Rash erythematous,20.0
vitamin d,ketamine,Asthenia,20.0
iopamidol,trazodone,Pruritus,20.0
quinidine,adalimumab,Hypertension,20.0
acetazolamide,cholecalciferol,Pancytopenia,20.0
betamethasone,remifentanil,Foetal exposure during pregnancy,20.0
metformin,periciazine,Coma,20.0
oxycodone,ginkgo biloba extract,Back pain,20.0
perindopril,"insulin, glulisine, human",Oedema peripheral,20.0
temsirolimus,nitroglycerin,Pneumonia,20.0
pentazocine,risedronate,Decreased appetite,20.0
palivizumab,valproate,Pyrexia,20.0
montelukast,sodium selenate,Cough,20.0
budesonide,lithium,Type 2 diabetes mellitus,20.0
air,levothyroxine,Haematoma,20.0
brimonidine,ergocalciferol,Urinary tract infection,20.0
temozolomide,docetaxel,Pancytopenia,20.0
nilotinib,insulin lispro,White blood cell count increased,20.0
"regular insulin, human",vildagliptin,Blood glucose increased,20.0
betamethasone,tolterodine,Rash generalised,20.0
glycerin,mirtazapine,Fall,20.0
atovaquone,lansoprazole,Myoclonus,20.0
ezetimibe,enzalutamide,Abdominal pain,20.0
"sennosides, usp",triamterene,Bradycardia,20.0
canrenoate,paroxetine,Renal failure,20.0
folic acid,cranberry preparation,Renal failure acute,20.0
minocycline,raloxifene,Joint swelling,20.0
acetate,prochlorperazine,Haemoglobin decreased,20.0
ergocalciferol,alfuzosin,Tremor,20.0
tacrolimus,omega-3 acid ethyl esters (usp),Renal failure acute,20.0
varenicline,mycophenolate mofetil,Drug interaction,20.0
menthol,eucalyptus oil,Fall,20.0
caffeine,armodafinil,Nervousness,20.0
amlodipine,saccharomyces cerevisiae,Pleural effusion,20.0
butalbital,danazol,Urinary tract infection,20.0
erlotinib,captopril,Haemoglobin decreased,20.0
celecoxib,trospium,Spinal osteoarthritis,20.0
fexofenadine,rifampin,Altered state of consciousness,20.0
calcitriol,dicyclomine,Arthritis,20.0
chondroitin sulfates,iron,Gastrooesophageal reflux disease,20.0
benazepril,water,Musculoskeletal pain,20.0
risedronate,voriconazole,Somnolence,20.0
betamethasone,raltegravir,Weight increased,20.0
cyclosporine,darifenacin,Tremor,20.0
tranylcypromine,gabapentin,Alopecia,20.0
moxonidine,captopril,Toxic skin eruption,20.0
geranylgeranylacetone,febuxostat,Renal impairment,20.0
armodafinil,lithium,Somnolence,20.0
raltegravir,sodium oxybate,Hypoxia,20.0
flunisolide,sodium chloride,Hyponatraemia,20.0
tipranavir,moxifloxacin,General physical health deterioration,20.0
petrolatum,calcium,Decreased appetite,20.0
imipenem,lansoprazole,Renal impairment,20.0
magnesium chloride,haloperidol,Mental status changes,20.0
diltiazem,benzbromarone,Inflammation,20.0
methadone,nifedipine,Lung disorder,20.0
capecitabine,clodronic acid,Dehydration,20.0
apixaban,ondansetron,Abdominal pain,20.0
minocycline,dornase alfa,Cough,20.0
triptorelin,omeprazole,Tremor,20.0
cinacalcet,cetirizine,Blood creatinine increased,20.0
sumatriptan,sodium chloride,Deep vein thrombosis,20.0
gabapentin,potassium gluconate,Cardiac failure congestive,20.0
ibandronate,risedronic acid,Breast cancer,20.0
perindopril,bicalutamide,Neoplasm malignant,20.0
alendronate,rotigotine,Application site erythema,20.0
hydrochlorothiazide,vismodegib,Haemoglobin decreased,20.0
chlorpheniramine,zaleplon,Type 2 diabetes mellitus,20.0
diphenhydramine,alginic acid,Pruritus,20.0
cefoperazone,ranitidine,Eye disorder,20.0
alprazolam,potassium gluconate,Dehydration,20.0
abacavir,sucralfate,Hypokalaemia,20.0
ropinirole,treprostinil,Pulmonary hypertension,20.0
minocycline,cefdinir,Emotional disorder,20.0
psyllium,methotrexate,Cognitive disorder,20.0
isradipine,calcium,Breast cancer,20.0
naproxen,carnitine,Malaise,20.0
telmisartan,natalizumab,Renal failure acute,20.0
spironolactone,cranberry preparation,Drug interaction,20.0
quetiapine,fenoterol,Confusional state,20.0
magnesium hydroxide,potassium acetate,Abdominal pain,20.0
duloxetine,sipuleucel-t,Tachycardia,20.0
estradiol,nizatidine,Upper respiratory tract infection,20.0
benzocaine,magnesium hydroxide,Pleural effusion,20.0
valacyclovir,idelalisib,Rash maculo-papular,20.0
ramipril,interferon alfa-2b,Pyrexia,20.0
ascorbic acid,liothyronine,Weight increased,20.0
tocilizumab,ethinyl estradiol,Paraesthesia,20.0
butorphanol,rofecoxib,Gastrooesophageal reflux disease,20.0
estradiol,sildenafil,Off label use,20.0
chlorpromazine,dicyclomine,Hypothyroidism,20.0
olanzapine,lapatinib,Aspartate aminotransferase increased,20.0
dalteparin,lanthanum carbonate,Myocardial infarction,20.0
ferrous sulfate,lipase,Hypothyroidism,20.0
standardized senna concentrate,dactinomycin,Platelet count decreased,20.0
ezetimibe,rasagiline,Dental caries,20.0
doxercalciferol,verapamil,Anxiety,20.0
sodium bicarbonate,vitamin b complex,Renal impairment,20.0
irinotecan,propranolol,Neutropenia,20.0
aldesleukin,indomethacin,Loss of consciousness,20.0
methylprednisolone,pilocarpine,Oxygen saturation decreased,20.0
tramadol,tropisetron,Pulmonary oedema,20.0
hydrocortisone,entecavir,Septic shock,20.0
rifampin,darbepoetin alfa,Blood alkaline phosphatase increased,20.0
busulfan,thalidomide,Acute myeloid leukaemia,20.0
furosemide,interferon alfa-2a,Renal failure acute,20.0
carbidopa,buspirone,Hallucination,20.0
duloxetine,tretinoin,Suicide attempt,20.0
mosapride,sunitinib,Decreased appetite,20.0
vitamin d,lisdexamfetamine,Tic,20.0
ramipril,ifenprodil,General physical health deterioration,20.0
dicloxacillin,alprazolam,Pulmonary oedema,20.0
famciclovir,valganciclovir,Neutropenia,20.0
vancomycin,mianserin,Inflammation,20.0
enoxaparin,petrolatum,Hypotension,20.0
ascorbic acid,eplerenone,Pain of skin,20.0
vitamin k,montelukast,Malaise,20.0
desogestrel,simvastatin,Balance disorder,20.0
fluorometholone,ranitidine,Fall,20.0
nilvadipine,lansoprazole,Septic shock,20.0
sucralfate,daptomycin,Abdominal pain,20.0
betaxolol,bimatoprost,Cough,20.0
mycophenolate,lorazepam,Oedema peripheral,20.0
oxaprozin,tamsulosin,Myocardial infarction,20.0
vitamin a,folate,Chest pain,20.0
ipratropium,salsalate,Dementia,20.0
salmeterol,dexbrompheniramine,Product quality issue,20.0
chondroitin sulfates,ranibizumab,Blood pressure increased,20.0
ertapenem,cefepime,Sepsis,20.0
zolpidem,vildagliptin,Gastrointestinal haemorrhage,20.0
amoxicillin,methyldopa,Premature baby,20.0
scopolamine,loxoprofen,Contusion,20.0
isotretinoin,adalimumab,Psoriasis,20.0
canrenoate,insulin lispro,Cerebral ischaemia,20.0
lercanidipine,theophylline,Renal failure acute,20.0
levocetirizine,sildenafil,Rectal haemorrhage,20.0
cortisone,omega-3 fatty acids,Gait disturbance,20.0
mometasone,bifidobacterium infantis,Injury,20.0
chlorzoxazone,propranolol,Pollakiuria,20.0
salsalate,metoclopramide,Anxiety,20.0
estramustine,propiverine,Disorientation,20.0
telmisartan,prasugrel,Swelling,20.0
cholestyramine resin,paclitaxel,Weight decreased,20.0
lanthanum carbonate,lenalidomide,Therapeutic response decreased,20.0
nabumetone,dicyclomine,Sleep disorder,20.0
linezolid,antithrombin iii,Neuropathy peripheral,20.0
metronidazole,amisulpride,Myocardial infarction,20.0
cefpodoxime,valproate,Lymphadenopathy,20.0
quetiapine,leflunomide,Drug intolerance,20.0
stavudine,diclofenac,Haemorrhage,20.0
telmisartan,axitinib,Hypertension,20.0
calcium carbonate,sodium citrate,Drug interaction,20.0
fluticasone,pazopanib,Hypertension,20.0
lamivudine,lipase,Pneumonia,20.0
tetrazepam,sunitinib,General physical health deterioration,20.0
metformin,cinnarizine,Dizziness,20.0
octreotide,dipyrone,Thrombosis,20.0
zafirlukast,anastrozole,Arthritis,20.0
saxagliptin,nitroglycerin,Intentional product misuse,20.0
polyethylene glycol 4000,acenocoumarol,Oedema peripheral,20.0
clemastine,nifedipine,Sepsis,20.0
cefixime,moxifloxacin,Hypotension,20.0
ampicillin,mirtazapine,Balance disorder,20.0
telmisartan,amoxapine,Movement disorder,20.0
colchicine,colesevelam,Wrong technique in drug usage process,20.0
bisacodyl,calcium polycarbophil,Muscle spasms,20.0
quinine,midodrine,Anhedonia,20.0
cholestyramine resin,sildenafil,Flushing,20.0
fentanyl,nelarabine,Anal fissure,20.0
midazolam,phenprocoumon,Somnolence,20.0
bosentan,fondaparinux,Anxiety,20.0
pemetrexed,sodium chloride,Gastrointestinal haemorrhage,20.0
sulbactam,pravastatin,Renal impairment,20.0
tramadol,estropipate,Cough,20.0
polyethylene glycol 400,carboxymethylcellulose,Eye swelling,20.0
chlorpheniramine,tropisetron,Tachycardia,20.0
bifidobacterium lactis,azathioprine,Anxiety,20.0
magnesium aspartate,escitalopram,Hallucination,20.0
calcium carbonate,niacinamide,Drug interaction,20.0
benzonatate,etodolac,Cardiac disorder,20.0
escitalopram,cevimeline,Tardive dyskinesia,20.0
repaglinide,infliximab,Gamma-glutamyltransferase increased,20.0
cholestyramine resin,zopiclone,Dehydration,20.0
lactobacillus casei rhamnosus,zonisamide,Platelet count decreased,20.0
dabigatran etexilate,rituximab,Anxiety,20.0
loratadine,ofloxacin,Diabetes mellitus,20.0
methadone,perphenazine,Respiratory arrest,20.0
phenprocoumon,vancomycin,Restlessness,20.0
dornase alfa,ondansetron,Intestinal obstruction,20.0
sevelamer,denosumab,Alopecia,20.0
mosapride,"calcium carbonate, precipitated",Disorientation,20.0
rivaroxaban,biotin,Alopecia,20.0
calcium,ketoconazole,Lymphadenopathy,20.0
acetaminophen,ingenol mebutate,Application site erythema,20.0
cetirizine,nevirapine,Cardiac arrest,20.0
minocycline,leflunomide,Rash erythematous,20.0
telaprevir,carbimazole,Decreased appetite,20.0
infliximab,celiprolol,Hepatic enzyme increased,20.0
pseudoephedrine,indomethacin,Swelling face,20.0
docetaxel,dactinomycin,Neutropenia,20.0
phenobarbital,mycophenolate mofetil,Cardiac arrest,20.0
triamterene,doxazosin,Atrial fibrillation,20.0
doxycycline,calcium chloride,Anhedonia,20.0
salmon oil,alprazolam,Abdominal discomfort,20.0
prochlorperazine,difluprednate,General physical health deterioration,20.0
cinnarizine,bisoprolol,Pancytopenia,20.0
nefazodone,ondansetron,Vomiting,20.0
nitrofurantoin,lipase,Pain in extremity,20.0
trimethoprim,ciclesonide,Sinus headache,20.0
omega-3 acid ethyl esters (usp),indomethacin,Arthralgia,20.0
montelukast,naratriptan,Condition aggravated,20.0
nefazodone,methotrexate,Rheumatoid arthritis,20.0
telmisartan,amiloride,Supraventricular tachycardia,20.0
liothyronine,atenolol,Migraine,20.0
clarithromycin,famciclovir,Anxiety,20.0
cimetidine,cefepime,Pancytopenia,20.0
butalbital,orlistat,Migraine,20.0
rosiglitazone,iloprost,Dizziness,20.0
risperidone,zafirlukast,Type 2 diabetes mellitus,20.0
tolterodine,liothyronine,Suicidal ideation,20.0
sertraline,nimesulide,Balance disorder,20.0
rivaroxaban,aliskiren,Foetal exposure during pregnancy,20.0
rosiglitazone,ergocalciferol,Weight decreased,20.0
prednisone,lactobacillus rhamnosus gg,Bronchitis,20.0
ascorbic acid,loxoprofen,Generalised erythema,20.0
ondansetron,deoxycholate,Thrombosis,20.0
zonisamide,levocarnitine,Face oedema,20.0
hydrocodone,balsalazide,Chest discomfort,20.0
enfuvirtide,lorazepam,Convulsion,20.0
emtricitabine,ezetimibe,Disorientation,20.0
isosorbide dinitrate,vitamin k,Multi-organ failure,20.0
meropenem,netilmicin,Hypokalaemia,20.0
cefotiam,haloperidol,Pneumonia,20.0
aripiprazole,dexlansoprazole,Swelling,20.0
lamotrigine,sibutramine,Depression,20.0
"sennosides, usp",tranexamic acid,Nasopharyngitis,20.0
acetaminophen,"tetanus toxoid vaccine, inactivated",Oedema peripheral,20.0
rivastigmine,desloratadine,Vertigo,20.0
lomitapide,gabapentin,Abdominal pain upper,20.0
ibandronate,isotretinoin,Breast cancer,20.0
chlorpheniramine,fingolimod,Depression,20.0
cholecalciferol,magnesium oxide,Rhabdomyolysis,20.0
spironolactone,belimumab,Rhinorrhoea,20.0
ticagrelor,piracetam,Loss of consciousness,20.0
dimenhydrinate,ceftazidime,Renal failure,20.0
carbimazole,bromazepam,Eosinophilia,20.0
medroxyprogesterone,deferasirox,Infection,20.0
insulin detemir,"sennosides, usp",Hypercholesterolaemia,20.0
cabazitaxel,tamsulosin,Malignant neoplasm progression,20.0
silodosin,carvedilol,Renal failure acute,20.0
fluocinolone,mometasone,Psychiatric symptom,20.0
pimecrolimus,desoximetasone,Arthritis,20.0
glimepiride,nizatidine,Blood alkaline phosphatase increased,20.0
lithium carbonate,hydroxychloroquine,Sinusitis,20.0
infliximab,fludarabine,Neutropenia,20.0
pantoprazole,trichloroacetaldehyde,Respiratory failure,20.0
quinapril,cinacalcet,Skin discolouration,20.0
furosemide,anidulafungin,Confusional state,20.0
lactobacillus casei rhamnosus,meloxicam,Renal impairment,20.0
enoxaparin,tenofovir,Pulmonary embolism,20.0
isosorbide dinitrate,imatinib,Malignant neoplasm progression,20.0
metformin,"tocopheryl nicotinate, d-.alpha.",Renal impairment,20.0
geranylgeranylacetone,amitriptyline,Anorexia,20.0
aripiprazole,orphenadrine,Loss of consciousness,20.0
folic acid,papaverine,Anxiety,20.0
vitamin d,carnitine,Influenza,20.0
piracetam,insulin glargine,Hypoglycaemia,20.0
glucose,sodium phosphate,Neutropenia,20.0
bifidobacterium bifidum,trichlormethiazide,Renal failure,20.0
cefotaxime,thiamine,Ileus paralytic,20.0
hydroquinone,tocopherol,Pain,20.0
repaglinide,ticlopidine,Renal impairment,20.0
oxycodone,potassium gluconate,Gait disturbance,20.0
doripenem,theophylline,Blood glucose increased,20.0
moxifloxacin,oxcarbazepine,Back pain,20.0
calcium acetate,formoterol,Chest discomfort,20.0
melatonin,sevelamer,Pyrexia,20.0
finasteride,mesalamine,Colitis ulcerative,20.0
nitrofurantoin,letrozole,Off label use,20.0
glycopyrrolate,sodium chloride,Hyperglycaemia,20.0
phloroglucinol,prednisone,Hyponatraemia,20.0
thioridazine,methylphenidate,Overdose,20.0
pilocarpine,rituximab,Hypertension,20.0
clavulanate,mequitazine,Pruritus,20.0
zuclopenthixol,prothipendyl,Tachycardia,20.0
clobetasol,insulin glargine,Cardiomyopathy,20.0
deflazacort,digoxin,Pain in extremity,20.0
guaifenesin,zileuton,Cough,20.0
natalizumab,isosorbide,Hypertension,20.0
ramipril,maltose,Loss of consciousness,20.0
capecitabine,trimetazidine,General physical health deterioration,20.0
glycerin,mosapride,Renal impairment,20.0
lactobacillus acidophilus,methadone,Haemoglobin decreased,20.0
danazol,iron,Asthenia,20.0
magnesium hydroxide,trimethobenzamide,Vomiting,20.0
dexamethasone,carboxymethylcellulose,Eye pain,20.0
amantadine,anastrozole,Hypertension,20.0
buprenorphine,lactobacillus casei rhamnosus,Pneumonia bacterial,20.0
betamethasone,solifenacin,Inappropriate antidiuretic hormone secretion,20.0
oxycodone,cefotaxime,Pyrexia,20.0
ferrous gluconate,calcium,Dyspepsia,20.0
methocarbamol,vitamin d3,Ankle fracture,20.0
